Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,AL,1997,4367935,254.141698463,31.207629638,146.722910481,15.302018913,31.620180997
US,AL,1998,4404701,250.081408298,42.71133555,160.696618736,15.753292482,31.053523396
US,AL,1999,4430141,253.152870903,44.520139777,159.291922516,15.901747644,13.055162569
US,AL,2000,4452173,264.369897054,45.148196906,183.617789669,16.525944642,16.503109941
US,AL,2001,4467634,244.859269109,42.14496732,192.625725853,16.01689635,17.732532364
US,AL,2002,4480089,250.791221249,44.101411897,203.474531072,15.801556699,16.360641361
US,AL,2003,4503491,253.380000635,46.158717326,206.566779131,24.586110298,17.397147835
US,AL,2004,4530729,257.250382377,55.250447561,213.317157717,24.512775162,21.83305824
US,AL,2005,4569805,257.19364812,53.30476668,224.654745,24.659385593,26.130570678
US,AL,2006,4628981,261.063022306,50.758386977,224.346169211,24.022845696,29.365254655
US,AL,2007,4672840,266.664888106,49.861357773,217.795380161,23.333125738,32.560197483
US,AL,2008,4718206,256.361364177,48.946911703,224.771041051,23.107487629,35.687816382
US,AL,2009,4757938,215.481912737,45.602450061,234.18522027,22.362295151,37.913557772
US,AL,2010,4785514,239.541810617,43.21998534,229.331874581,21.703807131,39.42412007
US,AL,2011,4799642,227.983291977,44.258777847,226.810575694,20.977472107,41.239482966
US,AL,2012,4816632,211.886289647,46.407334801,215.122557932,19.869333949,43.082270743
US,AL,2013,4831586,207.514487303,45.95911568,224.584264632,19.160923757,44.544275036
US,AL,2014,4843737,210.778784893,43.982698327,223.21042008,19.631756998,45.887375907
US,AL,2015,4854803,201.247546142,43.307634522,215.249133528,19.355670773,47.538234507
US,AL,2016,4866824,188.423628081,45.957798238,214.740544802,18.619645053,49.530789388
US,AL,2017,4877989,180.734351691,45.583515921,208.312057837,17.808773427,51.608048464
US,AL,2018,4891628,186.309130084,43.894937679,182.894614208,17.167328636,53.751487784
US,AK,1997,612968,100.880942268,13.134724728,87.170960558,4.311565676,30.816697071
US,AK,1998,619932,101.665862489,12.060179148,84.45913822,4.384333353,32.408289813
US,AK,1999,624779,101.585035816,11.571688987,78.65038214,4.305722464,34.429062134
US,AK,2000,627963,101.886647293,11.115279309,74.693812209,3.993694591,36.309222562
US,AK,2001,633714,99.688960776,10.468229257,73.897762165,3.884820392,37.835922425
US,AK,2002,642337,100.372229883,9.757620203,75.126301443,3.734754762,38.816360256
US,AK,2003,648414,100.44740666,8.54745108,73.518364061,3.678456811,39.572745085
US,AK,2004,659286,107.926520164,6.39206907,67.806065519,3.563552204,38.644742244
US,AK,2005,666946,108.348161805,6.468036205,65.963459554,3.527912256,39.582066257
US,AK,2006,675302,102.699123972,6.506035988,67.469138673,3.335153853,40.543599491
US,AK,2007,680300,98.80889862,5.929424339,66.029461776,3.333637747,41.231338644
US,AK,2008,687455,89.69505171962,14.713124529,67.322537069,3.217685611,41.610749381
US,AK,2009,698895,84.153825335,14.878082151,68.826808794,3.373169619,32.08441661
US,AK,2010,713982,86.000421718,14.693728066,68.668231365,3.153370268,22.250004561
US,AK,2011,722349,85.286970168,13.544976247,69.230410584,3.070748632,17.610962446
US,AK,2012,730810,82.738775234,13.172199412,73.364925879,3.257025702,13.252542254
US,AK,2013,737626,77.696293857,12.678294611,74.333750135,3.100892121,13.44024761
US,AK,2014,737075,74.826044355,12.370166355,74.387151238,3.204145051,15.092416026
US,AK,2015,738430,76.614372277,11.83675089,79.362503603,3.262444107,16.943526205
US,AK,2016,742575,74.736017799,11.230929981,80.118704544,2.925294721,17.747750201
US,AK,2017,740983,74.42723872,10.761692651,78.496131663,2.836098452,13.928911218
US,AK,2018,736624,74.685021763,14.412566262,85.985238375,11.778641301,16.606032151
US,AZ,1997,4736990,156.806019149,17.271840193,93.11747755,24.417712774,12.738931236
US,AZ,1998,4883342,165.983525079,16.422237085,96.254077045,38.318936471,14.47165982
US,AZ,1999,5023823,174.132644152,16.058954831,103.285130027,36.232646998,15.504851014
US,AZ,2000,5160586,184.520736176,17.877709418,96.740336203,36.15155187,15.839583693
US,AZ,2001,5273477,190.526284103,16.540583354,94.098052356,41.176431862,16.241022434
US,AZ,2002,5396255,189.170991992,33.053804181,106.037368033,39.622371346,17.9396783
US,AZ,2003,5510364,193.243020908,33.453934333,112.282366701,40.267264628,19.054649439
US,AZ,2004,5652404,207.183053822,34.095038394,112.399093157,39.655682142,19.988833065
US,AZ,2005,5839077,207.428371403,34.351691584,115.9578098,38.366356534,21.031746181
US,AZ,2006,6029141,213.79140505,36.274642642,126.067023058,38.090869415,22.17281711
US,AZ,2007,6167681,217.927128754,37.184203217,127.147366222,38.623465907,23.364729287
US,AZ,2008,6280362,218.610514875,36.920995666,131.460608189,39.013452582,24.584862312
US,AZ,2009,6343154,200.464618331,36.113400401,133.719628946,40.716826657,25.780529868
US,AZ,2010,6407342,203.515484643,35.953406435,133.900686921,41.275942373,26.73034176
US,AZ,2011,6473416,199.589191822,37.450889963,122.369229306,41.90241316,27.515070585
US,AZ,2012,6556344,195.279089226,39.272877297,121.477439415,42.544116504,28.201088775
US,AZ,2013,6634690,202.968278423,37.911574072,121.131326612,42.04790485,28.968567834
US,AZ,2014,6732873,199.309469132,38.749209429,121.999919579,41.302195599,29.707043044
