Year,Avg Pop,Avg GDP,Avg GHG
1997,10486420.192307692308,125344241019.23077,38.68801160577884
1998,10609773.230769230769,129112428173.07692,38.56311358782049
1999,10732314.153846153846,137158060115.38461,38.84031521396314
2000,10852400.423076923077,142564000692.30768,39.81350973587498
2001,10960344.423076923077,147691371480.76923,39.15435235277406
2002,11062507.423076923077,155397478326.92307,39.39869294417948
2003,11157997.423076923077,165771275615.3846,39.76527975727241
2004,11261742.230769230769,178362771307.69232,40.56032993884776
2005,11366023.038461538462,194225850230.76923,40.63983011660737
2006,11476150.461538461538,205658363192.30768,40.09023619826442
2007,11585815.653846153846,214204339788.46155,40.75049339444073
2008,11695921.769230769231,218013194576.92307,39.58243754571575
2009,11798904.961538461538,219395038173.07693,36.86193968729164
2010,11897197.807692307692,233403795134.6154,38.20454077639423
2011,11983980.038461538462,241501915576.92307,37.32840674898078
2012,12072217.769230769231,252168590807.69232,35.874129786506415
2013,12156151.807692307692,262547457173.07693,37.05613580118271
2014,12245628.038461538462,271684965038.46155,37.444794061524
2015,12336115.153846153846,278259931076.9231,36.46759901656567
2016,12425836.730769230769,285648137480.7692,35.739242580490405
2017,12504697.230769230769,295968778538.46155,35.654908340350936
2018,12570699.961538461538,312050178500,36.63127450884455
