Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,1,1990,1990,4050055
,Alabama,1,1991,1991,4099156
,Alabama,1,1992,1992,4154014
,Alabama,1,1993,1993,4214202
,Alabama,1,1994,1994,4260229
,Alabama,1,1995,1995,4296800
,Alabama,1,1996,1996,4331102
,Alabama,1,1997,1997,4367935
,Alabama,1,1998,1998,4404701
,Alabama,1,1999,1999,4430141
,Alabama,1,2000,2000,4452173
,Alabama,1,2001,2001,4467634
,Alabama,1,2002,2002,4480089
,Alabama,1,2003,2003,4503491
,Alabama,1,2004,2004,4530729
,Alabama,1,2005,2005,4569805
,Alabama,1,2006,2006,4628981
,Alabama,1,2007,2007,4672840
,Alabama,1,2008,2008,4718206
,Alabama,1,2009,2009,4757938
,Alabama,1,2010,2010,4785514
,Alabama,1,2011,2011,4799642
,Alabama,1,2012,2012,4816632
,Alabama,1,2013,2013,4831586
,Alabama,1,2014,2014,4843737
,Alabama,1,2015,2015,4854803
,Alabama,1,2016,2016,4866824
,Alabama,1,2017,2017,4877989
,Alabama,1,2018,2018,4891628
,Alabama,1,2019,2019,4907965
,Alabama,1,2020,2020,4921532
Total,Alabama,1,,,141788073
,Alaska,2,1990,1990,553290
,Alaska,2,1991,1991,570193
,Alaska,2,1992,1992,588736
,Alaska,2,1993,1993,599432
,Alaska,2,1994,1994,603308
,Alaska,2,1995,1995,604412
,Alaska,2,1996,1996,608569
,Alaska,2,1997,1997,612968
,Alaska,2,1998,1998,619932
,Alaska,2,1999,1999,624779
,Alaska,2,2000,2000,627963
,Alaska,2,2001,2001,633714
,Alaska,2,2002,2002,642337
,Alaska,2,2003,2003,648414
,Alaska,2,2004,2004,659286
,Alaska,2,2005,2005,666946
,Alaska,2,2006,2006,675302
,Alaska,2,2007,2007,680300
,Alaska,2,2008,2008,687455
,Alaska,2,2009,2009,698895
,Alaska,2,2010,2010,713982
,Alaska,2,2011,2011,722349
,Alaska,2,2012,2012,730810
,Alaska,2,2013,2013,737626
,Alaska,2,2014,2014,737075
,Alaska,2,2015,2015,738430
,Alaska,2,2016,2016,742575
,Alaska,2,2017,2017,740983
,Alaska,2,2018,2018,736624
,Alaska,2,2019,2019,733603
,Alaska,2,2020,2020,731158
Total,Alaska,2,,,20671446
,Arizona,4,1990,1990,3684097
,Arizona,4,1991,1991,3788576
,Arizona,4,1992,1992,3915740
,Arizona,4,1993,1993,4065440
,Arizona,4,1994,1994,4245089
,Arizona,4,1995,1995,4432499
,Arizona,4,1996,1996,4586940
,Arizona,4,1997,1997,4736990
,Arizona,4,1998,1998,4883342
,Arizona,4,1999,1999,5023823
,Arizona,4,2000,2000,5160586
,Arizona,4,2001,2001,5273477
,Arizona,4,2002,2002,5396255
,Arizona,4,2003,2003,5510364
,Arizona,4,2004,2004,5652404
,Arizona,4,2005,2005,5839077
,Arizona,4,2006,2006,6029141
,Arizona,4,2007,2007,6167681
,Arizona,4,2008,2008,6280362
,Arizona,4,2009,2009,6343154
,Arizona,4,2010,2010,6407342
,Arizona,4,2011,2011,6473416
,Arizona,4,2012,2012,6556344
,Arizona,4,2013,2013,6634690
,Arizona,4,2014,2014,6732873
,Arizona,4,2015,2015,6832810
,Arizona,4,2016,2016,6944767
,Arizona,4,2017,2017,7048088
,Arizona,4,2018,2018,7164228
,Arizona,4,2019,2019,7291843
,Arizona,4,2020,2020,7421401
Total,Arizona,4,,,176522839
,Arkansas,5,1990,1990,2356586
,Arkansas,5,1991,1991,2383144
,Arkansas,5,1992,1992,2415984
,Arkansas,5,1993,1993,2456303
,Arkansas,5,1994,1994,2494019
,Arkansas,5,1995,1995,2535399
,Arkansas,5,1996,1996,2572109
,Arkansas,5,1997,1997,2601090
,Arkansas,5,1998,1998,2626289
,Arkansas,5,1999,1999,2651860
,Arkansas,5,2000,2000,2678588
,Arkansas,5,2001,2001,2691571
,Arkansas,5,2002,2002,2705927
,Arkansas,5,2003,2003,2724816
,Arkansas,5,2004,2004,2749686
,Arkansas,5,2005,2005,2781097
,Arkansas,5,2006,2006,2821761
,Arkansas,5,2007,2007,2848650
,Arkansas,5,2008,2008,2874554
,Arkansas,5,2009,2009,2896843
,Arkansas,5,2010,2010,2921998
,Arkansas,5,2011,2011,2941038
,Arkansas,5,2012,2012,2952876
,Arkansas,5,2013,2013,2960459
,Arkansas,5,2014,2014,2968759
,Arkansas,5,2015,2015,2979732
,Arkansas,5,2016,2016,2991815
,Arkansas,5,2017,2017,3003855
,Arkansas,5,2018,2018,3012161
,Arkansas,5,2019,2019,3020985
,Arkansas,5,2020,2020,3030522
Total,Arkansas,5,,,85650476
,California,6,1990,1990,29959515
,California,6,1991,1991,30470736
,California,6,1992,1992,30974659
,California,6,1993,1993,31274928
,California,6,1994,1994,31484435
,California,6,1995,1995,31696582
,California,6,1996,1996,32018834
,California,6,1997,1997,32486010
,California,6,1998,1998,32987675
,California,6,1999,1999,33499204
,California,6,2000,2000,33987977
,California,6,2001,2001,34479458
,California,6,2002,2002,34871843
,California,6,2003,2003,35253159
,California,6,2004,2004,35574576
,California,6,2005,2005,35827943
,California,6,2006,2006,36021202
,California,6,2007,2007,36250311
,California,6,2008,2008,36604337
,California,6,2009,2009,36961229
,California,6,2010,2010,37319550
,California,6,2011,2011,37636311
,California,6,2012,2012,37944551
,California,6,2013,2013,38253768
,California,6,2014,2014,38586706
,California,6,2015,2015,38904296
,California,6,2016,2016,39149186
,California,6,2017,2017,39337785
,California,6,2018,2018,39437463
,California,6,2019,2019,39437610
,California,6,2020,2020,39368078
Total,California,6,,,1098059917
,Colorado,8,1990,1990,3307618
