State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA.AL,US,Agriculture ,All GHG,7.451524843,7.277622082,7.312518822,7.677440151,7.338171083,7.333667361,7.42142455,6.889240882,6.954451306,6.560037641,6.298966526,6.374233292,6.216304814,6.414499921,6.451566087,6.251228753,6.088326718,6.279736604,6.241847662,6.127060601,6.052284656,5.845037643,5.919469471,6.593379861,6.567291449,6.452280843,6.039602526,6.22555126,6.340371875
USA.AL,US,Agriculture ,CH4,3.283174937,3.205741446,3.249096142,3.293162468,3.376620288,3.469866398,3.39291704,3.137611196,3.074048076,2.959364929,2.899729741,2.743377939,2.750094649,2.857552706,2.732710638,2.667455985,2.630937061,2.636181301,2.544317712,2.560506874,2.59346437,2.543351184,2.5653049,2.603835219,2.577711784,2.494024326,2.497836618,2.590897497,2.656604489
USA.AL,US,Agriculture ,N2O,4.168349906,4.071880635,4.063422679,4.384277684,3.961550795,3.863800964,4.02850751,3.751629686,3.88040323,3.600672712,3.399236785,3.630855354,3.466210165,3.556947215,3.718855449,3.583772769,3.457389657,3.643555304,3.697529949,3.566553727,3.458820285,3.301686459,3.354164571,3.989544642,3.989579665,3.958256517,3.541765908,3.634653762,3.683767386
USA.AL,US,Bunker Fuels ,All GHG,0,0.022603908,0.022894892,0.020905596,0.022805487,0.020169326,0.016045263,0.016268954,0.013043265,0.002419978,0.007422068,0.012839181,0.008210844,0.007670649,0.036434483,0.00701234,0.008670166,0.009817712,0.010230344,0.01071878,0.012381474,0.009569609,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683
USA.AL,US,Bunker Fuels ,CO2,0,0.022603908,0.022894892,0.020905596,0.022805487,0.020169326,0.016045263,0.016268954,0.013043265,0.002419978,0.007422068,0.012839181,0.008210844,0.007670649,0.036434483,0.00701234,0.008670166,0.009817712,0.010230344,0.01071878,0.012381474,0.009569609,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683,0.008619683
USA.AL,US,Commercial,All GHG,2.455356102,2.023042867,2.128115837,2.074372384,2.078034316,1.98517264,2.185273241,2.437403281,1.919569847,2.205774316,2.269260807,2.181328514,2.00969465,2.121470112,2.17479217,1.859467508,2.235612412,1.999571021,2.015852842,1.907797608,2.131107355,2.066651009,1.795557512,1.846978777,1.94565562,2.151612653,2.200108771,2.096723989,2.342247905
USA.AL,US,Commercial,CH4,0.018490647,0.017684801,0.018521636,0.01759115,0.017132194,0.016898934,0.017799109,0.014014051,0.011776668,0.013059127,0.013855944,0.01252703,0.012178443,0.012789999,0.012748246,0.010007439,0.010930028,0.010532302,0.010794974,0.01168569,0.012211683,0.011875797,0.01037197,0.011200561,0.011655802,0.008001686,0.008272794,0.007694537,0.008540098
USA.AL,US,Commercial,CO2,2.43109797,2.000875321,2.104599843,2.052291236,2.056593809,1.964253397,2.163021568,2.419249089,1.904669755,2.188891283,2.25100503,2.165063571,1.994078494,2.104990205,2.15836532,1.846707982,2.220878823,1.985776915,2.001873569,1.892934184,2.115442602,2.051315328,1.782148493,1.83286203,1.931047306,2.140626426,2.188556404,2.085976913,2.330406291
USA.AL,US,Commercial,N2O,0.005767486,0.004482745,0.004994358,0.004489999,0.004308314,0.004020309,0.004452564,0.004140141,0.003123424,0.003823906,0.004399833,0.003737912,0.003437713,0.003689908,0.003678604,0.002752087,0.003803562,0.003261804,0.0031843,0.003177735,0.003453069,0.003459884,0.003037049,0.002916186,0.002952512,0.002984542,0.003279573,0.003052539,0.003301515
USA.AL,US,Electricity/Heat ,All GHG,50.58022541,54.49652514,57.26383472,63.17999654,59.15563237,64.76932982,69.96480686,68.34426795,69.31217713,70.436276,75.27937688,72.53350742,75.98805011,76.71395271,76.21614185,79.84998759,82.14025486,84.40101986,79.60738638,65.32653607,75.5147902,72.88937622,65.59826919,63.32542105,64.1706781,61.16191467,54.62469152,50.10276898,52.96554154
USA.AL,US,Electricity/Heat ,CH4,0.031766025,0.032846322,0.032715703,0.034426736,0.032394118,0.032019676,0.033091769,0.031551886,0.032071965,0.028036198,0.023214713,0.022950439,0.023931793,0.023859443,0.024076946,0.025066702,0.026252009,0.027159173,0.025675374,0.023334312,0.026865964,0.026295894,0.024280111,0.023167832,0.0239718,0.023289324,0.021812061,0.020213615,0.020634403
USA.AL,US,Electricity/Heat ,CO2,50.27943227,54.17605638,56.93154496,62.81783581,58.81622695,64.40787249,69.57789919,67.96991755,68.93213731,70.06065522,74.89938904,72.17331137,75.62048407,76.33700471,75.84818032,79.46050756,81.74777857,84.00397269,79.23229267,65.03590353,75.1836215,72.58635992,65.34673389,63.07010542,63.91341555,60.93302719,54.43209808,49.92596872,52.78770833
USA.AL,US,Electricity/Heat ,N2O,0.269027111,0.287622442,0.299574057,0.327733993,0.307011299,0.32943765,0.353815901,0.342798507,0.347967856,0.347584578,0.35677313,0.337245611,0.343634251,0.353088563,0.34388458,0.36441332,0.366224275,0.369888,0.349418341,0.267298231,0.304302736,0.276720404,0.227255184,0.232147799,0.233290751,0.20559816,0.170781383,0.156586642,0.157198808
USA.AL,US,Energy ,All GHG,127.8818648,131.8970056,137.8009754,140.1051657,140.1629377,149.9740866,154.0950603,150.4382024,148.1038921,149.9150459,155.855008,146.0264414,149.0988171,150.1703181,152.0742388,152.3549988,154.4457272,157.0567258,152.4808685,133.2293286,145.0466899,140.6980574,133.3879503,130.6854008,132.2326906,127.549803,121.7394996,117.6675578,120.250339
USA.AL,US,Fugitive Emissions ,All GHG,16.57996143,16.33996735,15.31637794,13.70259221,15.60185537,17.61675417,15.68040855,14.13997546,14.16545684,13.84361994,13.83846605,12.59475217,10.85418577,11.10730795,10.71104577,9.586097786,9.30585978,10.44734121,13.68728174,13.6159749,12.98461779,11.34630669,10.69000855,10.32952871,9.735871598,7.986775337,7.072883566,8.820791322,7.542014032
USA.AL,US,Fugitive Emissions ,CH4,16.48647451,16.23361794,15.22897806,13.61555569,15.47369173,17.47467842,15.59046632,14.06424627,14.09449324,13.79105041,13.77732066,12.54450234,10.78993028,11.02953515,10.59913694,9.466022904,9.135686513,10.33293411,13.60057295,13.49574442,12.85885193,11.17181584,10.69000855,10.32952871,9.735871598,7.986775337,7.072883566,8.820791322,7.542014032
USA.AL,US,Fugitive Emissions ,CO2,0.093486916,0.106349412,0.087399882,0.08703652,0.128163646,0.142075742,0.089942233,0.075729188,0.070963597,0.052569526,0.061145384,0.050249822,0.064255494,0.077772804,0.111908824,0.120074882,0.170173267,0.114407101,0.086708785,0.120230477,0.12576586,0.174490848,0,0,0,0,0,0,0
