GeoName,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States *,...,All industry total,Thousands of dollars,3286531000,3384012000,3592863000,3733598000,3866604000,4067108000,4337585000,4666176000,5079950000,5378754000,5602610000,5703992000,5742402000,6108729000,6321995000,6600532000,6870613000,7108287000,7278526000,7468126000,7736436000,8158931000,8453733000,8540393000
United States *,..., Private industries,Thousands of dollars,3016880000,3109566000,3309309000,3442431000,3573144000,3763375000,4025332000,4341378000,4736068000,5013434000,5216460000,5295186000,5315706000,5671663000,5864239000,6122329000,6381890000,6602693000,6760876000,6945418000,7201029000,7602124000,7880083000,7951504000
United States *,11,"  Agriculture, forestry, fishing and hunting",Thousands of dollars,83125000,77455000,76136000,82571000,83047000,69350000,90999000,113728000,109329000,94835000,106267000,105410000,88553000,105108000,137268000,129565000,164085000,143777000,127217000,112701000,118151000,121041000,115135000,150087000
United States *,111-112,   Farms,Thousands of dollars,72915000,67211000,65959000,71732000,72620000,59404000,80209000,103824000,99112000,83228000,95633000,95698000,79542000,94949000,128228000,120231000,155086000,134421000,117235000,102875000,108608000,111146000,105058000,140318000
United States *,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,10209000,10243000,10177000,10839000,10427000,9945000,10790000,9904000,10217000,11607000,10634000,9712000,9011000,10159000,9041000,9334000,8999000,9356000,9983000,9826000,9543000,9895000,10076000,9770000
United States *,21,"  Mining, quarrying, and oil and gas extraction",Thousands of dollars,46971000,33611000,37785000,60097000,70383000,61950000,84707000,104649000,152198000,186228000,217870000,277513000,181167000,204210000,239851000,229952000,252609000,269808000,130074000,106176000,160952000,191119000,165013000,73142000
United States *,211,   Oil and gas extraction,Thousands of dollars,33531000,18204000,23475000,44316000,50879000,45482000,65942000,81232000,117464000,133299000,155784000,208789000,123087000,135273000,158593000,158149000,186409000,201931000,86886000,74366000,115789000,140091000,115647000,34825000
United States *,212,   Mining (except oil and gas),Thousands of dollars,9621000,11956000,12699000,12235000,11742000,12149000,13625000,16831000,24590000,31883000,37218000,38911000,41175000,47865000,52550000,42136000,37512000,34266000,27021000,26384000,34022000,33426000,34353000,34742000
United States *,213,   Support activities for mining,Thousands of dollars,3819000,3450000,1611000,3546000,7762000,4319000,5139000,6586000,10144000,21046000,24868000,29814000,16905000,21072000,28707000,29666000,28688000,33611000,16167000,5426000,11141000,17602000,15012000,3575000
United States *,22,  Utilities,Thousands of dollars,97609000,88245000,99227000,94722000,99481000,86515000,92336000,102416000,97996000,117842000,117430000,122186000,136135000,154915000,159377000,152289000,155189000,164186000,162892000,160636000,168196000,170424000,178872000,182332000
United States *,23,  Construction,Thousands of dollars,106712000,122015000,134280000,147997000,155297000,160360000,183127000,219474000,256070000,267533000,267492000,207539000,189759000,174794000,171119000,181584000,192823000,206867000,227908000,252296000,270050000,278135000,294641000,360231000
United States *,31-33,  Manufacturing,Thousands of dollars,552767000,553741000,575553000,584861000,542588000,570263000,623526000,678077000,737726000,808279000,838242000,805230000,790895000,876947000,912947000,939072000,981718000,996721000,1039550000,1005175000,1057630000,1143021000,1149811000,1122756000
United States *,"321,327-339",   Durable goods manufacturing,Thousands of dollars,293799000,284764000,281064000,290259000,231109000,259868000,292940000,310274000,343427000,365771000,378629000,359246000,315366000,394339000,414161000,435687000,464023000,467941000,491703000,492908000,510539000,535177000,546752000,543488000
