State,Year,GDP
United States,1997,3.28653E+12
United States,1998,3.38401E+12
United States,1999,3.59286E+12
United States,2000,3.7336E+12
United States,2001,3.8666E+12
United States,2002,4.06711E+12
United States,2003,4.33759E+12
United States,2004,4.66618E+12
United States,2005,5.07995E+12
United States,2006,5.37875E+12
United States,2007,5.60261E+12
United States,2008,5.70399E+12
United States,2009,5.7424E+12
United States,2010,6.10873E+12
United States,2011,6.322E+12
United States,2012,6.60053E+12
United States,2013,6.87061E+12
United States,2014,7.10829E+12
United States,2015,7.27853E+12
United States,2016,7.46813E+12
United States,2017,7.73644E+12
United States,2018,8.15893E+12
United States,2019,8.45373E+12
United States,2020,8.54039E+12
Alabama,1997,37247871000
Alabama,1998,39368055000
Alabama,1999,41513658000
Alabama,2000,42583368000
Alabama,2001,43348584000
Alabama,2002,45807070000
Alabama,2003,49100590000
Alabama,2004,57547042000
Alabama,2005,63136982000
Alabama,2006,65253303000
Alabama,2007,67296649000
Alabama,2008,66180247000
Alabama,2009,65444473000
Alabama,2010,69842591000
Alabama,2011,73907390000
Alabama,2012,77608112000
Alabama,2013,80917965000
Alabama,2014,79561954000
Alabama,2015,80669851000
Alabama,2016,82073865000
Alabama,2017,85542583000
Alabama,2018,88794676000
Alabama,2019,90113804000
Alabama,2020,90732519000
Alaska,1997,11061328000
Alaska,1998,9388659000
Alaska,1999,9690070000
Alaska,2000,10455709000
Alaska,2001,11337091000
Alaska,2002,11963659000
Alaska,2003,13311189000
Alaska,2004,15436621000
Alaska,2005,19019065000
Alaska,2006,22400631000
Alaska,2007,24002821000
Alaska,2008,23323379000
Alaska,2009,22866505000
Alaska,2010,24439329000
Alaska,2011,25196229000
Alaska,2012,24819072000
Alaska,2013,22642550000
Alaska,2014,23858117000
Alaska,2015,20819352000
Alaska,2016,20355484000
Alaska,2017,22290191000
Alaska,2018,22145776000
Alaska,2019,21075569000
Alaska,2020,18458293000
Arizona,1997,53776045000
Arizona,1998,57020794000
Arizona,1999,62895447000
Arizona,2000,62781317000
Arizona,2001,64896111000
Arizona,2002,70104348000
Arizona,2003,77869673000
Arizona,2004,81311943000
Arizona,2005,90811873000
Arizona,2006,94686548000
Arizona,2007,1.00413E+11
Arizona,2008,1.01324E+11
Arizona,2009,94287589000
Arizona,2010,99207068000
Arizona,2011,1.02541E+11
Arizona,2012,1.07077E+11
Arizona,2013,1.08778E+11
Arizona,2014,1.11437E+11
Arizona,2015,1.15828E+11
Arizona,2016,1.21629E+11
Arizona,2017,1.2758E+11
Arizona,2018,1.33408E+11
Arizona,2019,1.41254E+11
Arizona,2020,1.47062E+11
Arkansas,1997,23315960000
Arkansas,1998,23736909000
Arkansas,1999,25718358000
Arkansas,2000,25974140000
Arkansas,2001,26235659000
Arkansas,2002,27860168000
Arkansas,2003,30737525000
Arkansas,2004,33626013000
Arkansas,2005,36232114000
Arkansas,2006,38116776000
Arkansas,2007,38140600000
Arkansas,2008,38190155000
Arkansas,2009,36778122000
Arkansas,2010,39155524000
Arkansas,2011,41614398000
Arkansas,2012,41542915000
Arkansas,2013,44449432000
Arkansas,2014,45138072000
Arkansas,2015,44687986000
Arkansas,2016,44409534000
Arkansas,2017,44820156000
Arkansas,2018,47015337000
Arkansas,2019,48326336000
Arkansas,2020,49887987000
California,1997,4.31069E+11
California,1998,4.53031E+11
California,1999,4.87838E+11
California,2000,5.09912E+11
California,2001,5.14712E+11
California,2002,5.37381E+11
California,2003,5.8175E+11
California,2004,6.09808E+11
California,2005,6.69809E+11
California,2006,7.18212E+11
California,2007,7.50756E+11
California,2008,7.76312E+11
California,2009,7.78418E+11
California,2010,8.1846E+11
California,2011,8.31169E+11
California,2012,8.69107E+11
California,2013,9.22209E+11
California,2014,9.59787E+11
California,2015,1.00009E+12
California,2016,1.03841E+12
California,2017,1.11209E+12
California,2018,1.18111E+12
California,2019,1.23526E+12
California,2020,1.24513E+12
Colorado,1997,52989433000
Colorado,1998,57765105000
Colorado,1999,62638825000
Colorado,2000,66474953000
Colorado,2001,68887729000
Colorado,2002,72171780000
Colorado,2003,76283527000
Colorado,2004,78021070000
Colorado,2005,87175950000
Colorado,2006,90876360000
Colorado,2007,98248590000
Colorado,2008,1.03657E+11
Colorado,2009,1.00234E+11
Colorado,2010,1.03204E+11
Colorado,2011,1.07127E+11
Colorado,2012,1.09663E+11
Colorado,2013,1.18145E+11
Colorado,2014,1.23575E+11
Colorado,2015,1.25444E+11
Colorado,2016,1.28088E+11
Colorado,2017,1.34076E+11
Colorado,2018,1.42335E+11
Colorado,2019,1.48663E+11
Colorado,2020,1.47403E+11
Connecticut,1997,50568520000
Connecticut,1998,51906772000
Connecticut,1999,53755314000
Connecticut,2000,59834228000
Connecticut,2001,62264569000
Connecticut,2002,64527991000
Connecticut,2003,66380943000
Connecticut,2004,76332073000
Connecticut,2005,81040630000
Connecticut,2006,90802125000
Connecticut,2007,97517836000
Connecticut,2008,1.00441E+11
Connecticut,2009,1.00575E+11
Connecticut,2010,99723518000
Connecticut,2011,93431387000
Connecticut,2012,96584621000
Connecticut,2013,94992103000
Connecticut,2014,95466076000
Connecticut,2015,1.0389E+11
Connecticut,2016,1.06714E+11
Connecticut,2017,1.12461E+11
Connecticut,2018,1.17029E+11
Connecticut,2019,1.20458E+11
Connecticut,2020,1.16384E+11
Delaware,1997,16293486000
Delaware,1998,18697289000
Delaware,1999,20725145000
Delaware,2000,22478806000
Delaware,2001,24465286000
Delaware,2002,23211328000
Delaware,2003,24421185000
Delaware,2004,26159662000
Delaware,2005,25434871000
Delaware,2006,26980515000
Delaware,2007,27797471000
Delaware,2008,26646810000
Delaware,2009,30086841000
Delaware,2010,29941875000
Delaware,2011,31992549000
Delaware,2012,32022426000
Delaware,2013,30633048000
Delaware,2014,35588454000
Delaware,2015,38102060000
Delaware,2016,35114205000
Delaware,2017,32884557000
Delaware,2018,35073261000
Delaware,2019,38066566000
Delaware,2020,38805576000
District of Columbia,1997,14800959000
District of Columbia,1998,15341732000
District of Columbia,1999,16243372000
District of Columbia,2000,16094689000
District of Columbia,2001,17549116000
District of Columbia,2002,19129987000
District of Columbia,2003,19891320000
District of Columbia,2004,21945440000
District of Columbia,2005,23285267000
District of Columbia,2006,23956631000
District of Columbia,2007,26044878000
District of Columbia,2008,28660195000
District of Columbia,2009,28532164000
District of Columbia,2010,30337418000
District of Columbia,2011,31043292000
District of Columbia,2012,31856203000
District of Columbia,2013,32742759000
District of Columbia,2014,33910701000
District of Columbia,2015,35440241000
District of Columbia,2016,37123871000
District of Columbia,2017,37255087000
District of Columbia,2018,38546918000
District of Columbia,2019,40041005000
District of Columbia,2020,41679868000
Florida,1997,1.42317E+11
Florida,1998,1.47761E+11
Florida,1999,1.59176E+11
Florida,2000,1.681E+11
Florida,2001,1.79504E+11
Florida,2002,1.96626E+11
Florida,2003,2.11888E+11
Florida,2004,2.35074E+11
Florida,2005,2.59016E+11
Florida,2006,2.74981E+11
Florida,2007,2.90605E+11
Florida,2008,2.76369E+11
Florida,2009,2.75028E+11
Florida,2010,2.82499E+11
Florida,2011,2.84518E+11
Florida,2012,2.90315E+11
Florida,2013,3.0417E+11
Florida,2014,3.20495E+11
Florida,2015,3.45662E+11
Florida,2016,3.63341E+11
Florida,2017,3.78543E+11
Florida,2018,3.95362E+11
Florida,2019,4.18579E+11
Florida,2020,4.41215E+11
Georgia,1997,94784598000
Georgia,1998,1.03983E+11
Georgia,1999,1.1523E+11
Georgia,2000,1.17797E+11
Georgia,2001,1.23716E+11
Georgia,2002,1.30323E+11
Georgia,2003,1.38635E+11
Georgia,2004,1.49166E+11
Georgia,2005,1.61578E+11
Georgia,2006,1.63991E+11
Georgia,2007,1.66905E+11
Georgia,2008,1.61356E+11
Georgia,2009,1.63886E+11
Georgia,2010,1.69527E+11
Georgia,2011,1.73984E+11
Georgia,2012,1.80494E+11
Georgia,2013,1.8822E+11
Georgia,2014,1.98965E+11
Georgia,2015,2.15187E+11
Georgia,2016,2.28708E+11
Georgia,2017,2.41383E+11
Georgia,2018,2.51827E+11
Georgia,2019,2.70875E+11
Georgia,2020,2.69536E+11
Hawaii,1997,13552691000
Hawaii,1998,12914176000
Hawaii,1999,13574252000
Hawaii,2000,14200772000
Hawaii,2001,14660447000
Hawaii,2002,14976392000
Hawaii,2003,16496177000
Hawaii,2004,18154600000
Hawaii,2005,20700992000
Hawaii,2006,21887879000
Hawaii,2007,23024009000
Hawaii,2008,23501163000
Hawaii,2009,23434639000
Hawaii,2010,24948621000
Hawaii,2011,25176206000
Hawaii,2012,26142347000
Hawaii,2013,27316387000
Hawaii,2014,27453755000
Hawaii,2015,29521263000
Hawaii,2016,30437354000
Hawaii,2017,31682075000
Hawaii,2018,32467152000
Hawaii,2019,32463308000
Hawaii,2020,31098046000
Idaho,1997,11392168000
Idaho,1998,11868189000
Idaho,1999,13679421000
Idaho,2000,15505965000
Idaho,2001,14407468000
Idaho,2002,14710293000
Idaho,2003,15528521000
Idaho,2004,17488981000
Idaho,2005,19948858000
Idaho,2006,19567510000
Idaho,2007,20684493000
Idaho,2008,23078310000
Idaho,2009,22434686000
