State,Yearly July 1st Estimates,Population
Alabama,1990,4050055
Alabama,1991,4099156
Alabama,1992,4154014
Alabama,1993,4214202
Alabama,1994,4260229
Alabama,1995,4296800
Alabama,1996,4331102
Alabama,1997,4367935
Alabama,1998,4404701
Alabama,1999,4430141
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785514
Alabama,2011,4799642
Alabama,2012,4816632
Alabama,2013,4831586
Alabama,2014,4843737
Alabama,2015,4854803
Alabama,2016,4866824
Alabama,2017,4877989
Alabama,2018,4891628
Alabama,2019,4907965
Alabama,2020,4921532
Alabama,,141788073
Alaska,1990,553290
Alaska,1991,570193
Alaska,1992,588736
Alaska,1993,599432
Alaska,1994,603308
Alaska,1995,604412
Alaska,1996,608569
Alaska,1997,612968
Alaska,1998,619932
Alaska,1999,624779
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713982
Alaska,2011,722349
Alaska,2012,730810
Alaska,2013,737626
Alaska,2014,737075
Alaska,2015,738430
Alaska,2016,742575
Alaska,2017,740983
Alaska,2018,736624
Alaska,2019,733603
Alaska,2020,731158
Alaska,,20671446
Arizona,1990,3684097
Arizona,1991,3788576
Arizona,1992,3915740
Arizona,1993,4065440
Arizona,1994,4245089
Arizona,1995,4432499
Arizona,1996,4586940
Arizona,1997,4736990
Arizona,1998,4883342
Arizona,1999,5023823
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6407342
Arizona,2011,6473416
Arizona,2012,6556344
Arizona,2013,6634690
Arizona,2014,6732873
Arizona,2015,6832810
Arizona,2016,6944767
Arizona,2017,7048088
Arizona,2018,7164228
Arizona,2019,7291843
Arizona,2020,7421401
Arizona,,176522839
Arkansas,1990,2356586
Arkansas,1991,2383144
Arkansas,1992,2415984
Arkansas,1993,2456303
Arkansas,1994,2494019
Arkansas,1995,2535399
Arkansas,1996,2572109
Arkansas,1997,2601090
Arkansas,1998,2626289
Arkansas,1999,2651860
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921998
Arkansas,2011,2941038
Arkansas,2012,2952876
Arkansas,2013,2960459
Arkansas,2014,2968759
Arkansas,2015,2979732
Arkansas,2016,2991815
Arkansas,2017,3003855
Arkansas,2018,3012161
Arkansas,2019,3020985
Arkansas,2020,3030522
Arkansas,,85650476
California,1990,29959515
California,1991,30470736
California,1992,30974659
California,1993,31274928
California,1994,31484435
California,1995,31696582
California,1996,32018834
California,1997,32486010
California,1998,32987675
California,1999,33499204
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37319550
California,2011,37636311
California,2012,37944551
California,2013,38253768
California,2014,38586706
California,2015,38904296
California,2016,39149186
California,2017,39337785
California,2018,39437463
California,2019,39437610
California,2020,39368078
California,,1098059917
Colorado,1990,3307618
Colorado,1991,3387119
Colorado,1992,3495939
Colorado,1993,3613734
Colorado,1994,3724168
Colorado,1995,3826653
Colorado,1996,3919972
Colorado,1997,4018293
Colorado,1998,4116639
Colorado,1999,4226018
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5047539
Colorado,2011,5121900
Colorado,2012,5193660
Colorado,2013,5270774
Colorado,2014,5352637
Colorado,2015,5454328
Colorado,2016,5543844
Colorado,2017,5617421
Colorado,2018,5697155
Colorado,2019,5758486
Colorado,2020,5807719
Colorado,,143866479
Connecticut,1990,3291967
Connecticut,1991,3302895
Connecticut,1992,3300712
Connecticut,1993,3309175
Connecticut,1994,3316121
Connecticut,1995,3324144
Connecticut,1996,3336685
Connecticut,1997,3349348
Connecticut,1998,3365352
Connecticut,1999,3386401
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3579173
Connecticut,2011,3588632
Connecticut,2012,3595211
