,State,Year,Population
0,Alabama,1990.0,4050055
1,Alabama,1991.0,4099156
2,Alabama,1992.0,4154014
3,Alabama,1993.0,4214202
4,Alabama,1994.0,4260229
5,Alabama,1995.0,4296800
6,Alabama,1996.0,4331102
7,Alabama,1997.0,4367935
8,Alabama,1998.0,4404701
9,Alabama,1999.0,4430141
10,Alabama,2000.0,4452173
11,Alabama,2001.0,4467634
12,Alabama,2002.0,4480089
13,Alabama,2003.0,4503491
14,Alabama,2004.0,4530729
15,Alabama,2005.0,4569805
16,Alabama,2006.0,4628981
17,Alabama,2007.0,4672840
18,Alabama,2008.0,4718206
19,Alabama,2009.0,4757938
20,Alabama,2010.0,4785514
21,Alabama,2011.0,4799642
22,Alabama,2012.0,4816632
23,Alabama,2013.0,4831586
24,Alabama,2014.0,4843737
25,Alabama,2015.0,4854803
26,Alabama,2016.0,4866824
27,Alabama,2017.0,4877989
28,Alabama,2018.0,4891628
29,Alabama,2019.0,4907965
30,Alabama,2020.0,4921532
32,Alaska,1990.0,553290
33,Alaska,1991.0,570193
34,Alaska,1992.0,588736
35,Alaska,1993.0,599432
36,Alaska,1994.0,603308
37,Alaska,1995.0,604412
38,Alaska,1996.0,608569
39,Alaska,1997.0,612968
40,Alaska,1998.0,619932
41,Alaska,1999.0,624779
42,Alaska,2000.0,627963
43,Alaska,2001.0,633714
44,Alaska,2002.0,642337
45,Alaska,2003.0,648414
46,Alaska,2004.0,659286
47,Alaska,2005.0,666946
48,Alaska,2006.0,675302
49,Alaska,2007.0,680300
50,Alaska,2008.0,687455
51,Alaska,2009.0,698895
52,Alaska,2010.0,713982
53,Alaska,2011.0,722349
54,Alaska,2012.0,730810
55,Alaska,2013.0,737626
56,Alaska,2014.0,737075
57,Alaska,2015.0,738430
58,Alaska,2016.0,742575
59,Alaska,2017.0,740983
60,Alaska,2018.0,736624
61,Alaska,2019.0,733603
62,Alaska,2020.0,731158
64,Arizona,1990.0,3684097
65,Arizona,1991.0,3788576
66,Arizona,1992.0,3915740
67,Arizona,1993.0,4065440
68,Arizona,1994.0,4245089
69,Arizona,1995.0,4432499
70,Arizona,1996.0,4586940
71,Arizona,1997.0,4736990
72,Arizona,1998.0,4883342
73,Arizona,1999.0,5023823
74,Arizona,2000.0,5160586
75,Arizona,2001.0,5273477
76,Arizona,2002.0,5396255
77,Arizona,2003.0,5510364
78,Arizona,2004.0,5652404
79,Arizona,2005.0,5839077
80,Arizona,2006.0,6029141
81,Arizona,2007.0,6167681
82,Arizona,2008.0,6280362
83,Arizona,2009.0,6343154
84,Arizona,2010.0,6407342
85,Arizona,2011.0,6473416
86,Arizona,2012.0,6556344
87,Arizona,2013.0,6634690
88,Arizona,2014.0,6732873
89,Arizona,2015.0,6832810
90,Arizona,2016.0,6944767
91,Arizona,2017.0,7048088
92,Arizona,2018.0,7164228
93,Arizona,2019.0,7291843
94,Arizona,2020.0,7421401
96,Arkansas,1990.0,2356586
97,Arkansas,1991.0,2383144
98,Arkansas,1992.0,2415984
99,Arkansas,1993.0,2456303
100,Arkansas,1994.0,2494019
101,Arkansas,1995.0,2535399
102,Arkansas,1996.0,2572109
103,Arkansas,1997.0,2601090
104,Arkansas,1998.0,2626289
105,Arkansas,1999.0,2651860
106,Arkansas,2000.0,2678588
107,Arkansas,2001.0,2691571
108,Arkansas,2002.0,2705927
109,Arkansas,2003.0,2724816
110,Arkansas,2004.0,2749686
111,Arkansas,2005.0,2781097
112,Arkansas,2006.0,2821761
113,Arkansas,2007.0,2848650
114,Arkansas,2008.0,2874554
115,Arkansas,2009.0,2896843
116,Arkansas,2010.0,2921998
117,Arkansas,2011.0,2941038
118,Arkansas,2012.0,2952876
119,Arkansas,2013.0,2960459
120,Arkansas,2014.0,2968759
121,Arkansas,2015.0,2979732
122,Arkansas,2016.0,2991815
123,Arkansas,2017.0,3003855
124,Arkansas,2018.0,3012161
125,Arkansas,2019.0,3020985
126,Arkansas,2020.0,3030522
128,California,1990.0,29959515
129,California,1991.0,30470736
130,California,1992.0,30974659
131,California,1993.0,31274928
132,California,1994.0,31484435
133,California,1995.0,31696582
134,California,1996.0,32018834
135,California,1997.0,32486010
136,California,1998.0,32987675
137,California,1999.0,33499204
138,California,2000.0,33987977
139,California,2001.0,34479458
140,California,2002.0,34871843
141,California,2003.0,35253159
142,California,2004.0,35574576
143,California,2005.0,35827943
144,California,2006.0,36021202
145,California,2007.0,36250311
146,California,2008.0,36604337
147,California,2009.0,36961229
148,California,2010.0,37319550
149,California,2011.0,37636311
150,California,2012.0,37944551
151,California,2013.0,38253768
152,California,2014.0,38586706
153,California,2015.0,38904296
154,California,2016.0,39149186
155,California,2017.0,39337785
156,California,2018.0,39437463
157,California,2019.0,39437610
158,California,2020.0,39368078
160,Colorado,1990.0,3307618
161,Colorado,1991.0,3387119
162,Colorado,1992.0,3495939
163,Colorado,1993.0,3613734
164,Colorado,1994.0,3724168
165,Colorado,1995.0,3826653
166,Colorado,1996.0,3919972
167,Colorado,1997.0,4018293
168,Colorado,1998.0,4116639
169,Colorado,1999.0,4226018
170,Colorado,2000.0,4326921
171,Colorado,2001.0,4425687
172,Colorado,2002.0,4490406
173,Colorado,2003.0,4528732
174,Colorado,2004.0,4575013
175,Colorado,2005.0,4631888
176,Colorado,2006.0,4720423
177,Colorado,2007.0,4803868
178,Colorado,2008.0,4889730
179,Colorado,2009.0,4972195
180,Colorado,2010.0,5047539
181,Colorado,2011.0,5121900
182,Colorado,2012.0,5193660
183,Colorado,2013.0,5270774
184,Colorado,2014.0,5352637
185,Colorado,2015.0,5454328
186,Colorado,2016.0,5543844
187,Colorado,2017.0,5617421
188,Colorado,2018.0,5697155
189,Colorado,2019.0,5758486
190,Colorado,2020.0,5807719
192,Connecticut,1990.0,3291967
193,Connecticut,1991.0,3302895
194,Connecticut,1992.0,3300712
195,Connecticut,1993.0,3309175
196,Connecticut,1994.0,3316121
197,Connecticut,1995.0,3324144
198,Connecticut,1996.0,3336685
199,Connecticut,1997.0,3349348
200,Connecticut,1998.0,3365352
201,Connecticut,1999.0,3386401
202,Connecticut,2000.0,3411777
203,Connecticut,2001.0,3432835
204,Connecticut,2002.0,3458749
