,Country,State,Sector,Year,All GHG
1,US,AL,Agriculture,1990,7.451524843
2,US,AL,Agriculture,1991,7.277622082
3,US,AL,Agriculture,1992,7.312518822
4,US,AL,Agriculture,1993,7.677440151
5,US,AL,Agriculture,1994,7.338171083
6,US,AL,Agriculture,1995,7.333667361
7,US,AL,Agriculture,1996,7.42142455
8,US,AL,Agriculture,1997,6.889240882
9,US,AL,Agriculture,1998,6.954451306
10,US,AL,Agriculture,1999,6.560037641
11,US,AL,Agriculture,2000,6.298966526
12,US,AL,Agriculture,2001,6.374233292
13,US,AL,Agriculture,2002,6.216304814
14,US,AL,Agriculture,2003,6.414499921
15,US,AL,Agriculture,2004,6.451566087
16,US,AL,Agriculture,2005,6.251228753
17,US,AL,Agriculture,2006,6.088326718
18,US,AL,Agriculture,2007,6.279736604
19,US,AL,Agriculture,2008,6.241847662
20,US,AL,Agriculture,2009,6.127060601
21,US,AL,Agriculture,2010,6.052284656
22,US,AL,Agriculture,2011,5.845037643
23,US,AL,Agriculture,2012,5.919469471
24,US,AL,Agriculture,2013,6.593379861
25,US,AL,Agriculture,2014,6.567291449
26,US,AL,Agriculture,2015,6.452280843
27,US,AL,Agriculture,2016,6.039602526
28,US,AL,Agriculture,2017,6.22555126
29,US,AL,Agriculture,2018,6.340371875
31,US,AL,Bunker Fuels,1990,0.0
32,US,AL,Bunker Fuels,1991,0.022603908
33,US,AL,Bunker Fuels,1992,0.022894892
34,US,AL,Bunker Fuels,1993,0.020905596
35,US,AL,Bunker Fuels,1994,0.022805487
36,US,AL,Bunker Fuels,1995,0.020169326
37,US,AL,Bunker Fuels,1996,0.016045263
38,US,AL,Bunker Fuels,1997,0.016268954
39,US,AL,Bunker Fuels,1998,0.013043265
40,US,AL,Bunker Fuels,1999,0.002419978
41,US,AL,Bunker Fuels,2000,0.007422068
42,US,AL,Bunker Fuels,2001,0.012839181
43,US,AL,Bunker Fuels,2002,0.008210844
44,US,AL,Bunker Fuels,2003,0.007670649
45,US,AL,Bunker Fuels,2004,0.036434483
46,US,AL,Bunker Fuels,2005,0.00701234
47,US,AL,Bunker Fuels,2006,0.008670166
48,US,AL,Bunker Fuels,2007,0.009817712
49,US,AL,Bunker Fuels,2008,0.010230344
50,US,AL,Bunker Fuels,2009,0.01071878
51,US,AL,Bunker Fuels,2010,0.012381474
52,US,AL,Bunker Fuels,2011,0.009569609
53,US,AL,Bunker Fuels,2012,0.008619683
54,US,AL,Bunker Fuels,2013,0.008619683
55,US,AL,Bunker Fuels,2014,0.008619683
56,US,AL,Bunker Fuels,2015,0.008619683
57,US,AL,Bunker Fuels,2016,0.008619683
58,US,AL,Bunker Fuels,2017,0.008619683
59,US,AL,Bunker Fuels,2018,0.008619683
61,US,AL,Commercial,1990,2.455356102
62,US,AL,Commercial,1991,2.023042867
63,US,AL,Commercial,1992,2.128115837
64,US,AL,Commercial,1993,2.074372384
65,US,AL,Commercial,1994,2.078034316
66,US,AL,Commercial,1995,1.98517264
67,US,AL,Commercial,1996,2.185273241
68,US,AL,Commercial,1997,2.437403281
69,US,AL,Commercial,1998,1.919569847
70,US,AL,Commercial,1999,2.205774316
71,US,AL,Commercial,2000,2.269260807
72,US,AL,Commercial,2001,2.181328514
73,US,AL,Commercial,2002,2.00969465
74,US,AL,Commercial,2003,2.121470112
75,US,AL,Commercial,2004,2.17479217
76,US,AL,Commercial,2005,1.859467508
77,US,AL,Commercial,2006,2.235612412
78,US,AL,Commercial,2007,1.999571021
79,US,AL,Commercial,2008,2.015852842
80,US,AL,Commercial,2009,1.907797608
81,US,AL,Commercial,2010,2.131107355
82,US,AL,Commercial,2011,2.066651009
83,US,AL,Commercial,2012,1.795557512
84,US,AL,Commercial,2013,1.846978777
85,US,AL,Commercial,2014,1.94565562
86,US,AL,Commercial,2015,2.151612653
87,US,AL,Commercial,2016,2.200108771
88,US,AL,Commercial,2017,2.096723989
89,US,AL,Commercial,2018,2.342247905
